"","School.Type","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Gender.Ratio.M.to.F","Enrol_sum_all","Enrol_sum_JKto3","Enrol_sum_4to6"
"1107","Public","Medium","Medium","Low","Low","Lowest","Low","FALSE","Low","High","Lowest","Medium","Medium","High","Lowest","High","YES","NO","NO","Low","High","High","High"
"1110","Public","High","Medium","Lowest","Low","Lowest","Highest","TRUE","Medium","Medium","High","Medium","High","Highest","Lowest","Highest","YES","NO","NO","Low","High","High","High"
"1111","Public","Lowest","Medium","Low","Lowest","Lowest","Lowest","FALSE","High","High","Low","Lowest","High","Highest","Lowest","Highest","YES","NO","NO","Low","High","High","High"
"1113","Public","Low","High","Low","Lowest","Lowest","Low","FALSE","Highest","High","High","Lowest","Medium","Low","Medium","High","YES","NO","NO","Low","High","High","High"
"1114","Public","Medium","Medium","Low","Lowest","Lowest","Medium","FALSE","Low","High","Low","Highest","Highest","Highest","Lowest","Medium","YES","NO","NO","Low","High","High","High"
"1115","Public","Medium","High","Low","Lowest","Lowest","Low","FALSE","Low","Medium","Medium","Medium","Medium","High","Medium","Medium","YES","NO","NO","Low","High","High","High"
"1116","Public","Highest","Lowest","Lowest","Lowest","Lowest","Lowest","FALSE","Medium","Highest","High","High","Highest","Medium","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"1117","Public","Highest","Medium","Low","Lowest","Lowest","Lowest","FALSE","High","Highest","Highest","Low","Medium","High","Lowest","High","YES","NO","NO","Low","High","High","High"
"1118","Public","Highest","Medium","Low","Medium","Medium","Lowest","FALSE","High","Highest","High","Low","Medium","Highest","Medium","Medium","YES","NO","NO","Low","High","High","High"
"1119","Public","Highest","Lowest","Low","Lowest","Lowest","Medium","FALSE","Medium","High","High","Medium","Low","Medium","Lowest","High","YES","NO","NO","Low","High","High","High"
"1120","Public","High","High","Low","High","High","Low","FALSE","Medium","Medium","Medium","Lowest","Lowest","Low","Highest","Lowest","YES","NO","NO","Low","High","High","High"
"1121","Public","High","High","Low","Low","Low","Lowest","FALSE","Medium","High","Highest","Highest","High","Highest","Low","High","YES","NO","NO","Low","High","High","High"
"1122","Public","Low","Lowest","Low","Lowest","Lowest","High","FALSE","High","High","High","Medium","Low","Lowest","Low","Lowest","YES","NO","NO","Low","High","High","High"
"1123","Public","Low","Low","Low","Lowest","Lowest","Low","FALSE","Medium","Highest","High","High","Medium","Highest","Lowest","High","YES","NO","NO","Low","High","High","High"
"1125","Public","Highest","Low","Low","Lowest","Lowest","Lowest","FALSE","Highest","Highest","Highest","High","High","Highest","Lowest","Highest","YES","NO","NO","Low","High","High","High"
"1126","Public","High","Medium","Low","Lowest","Lowest","Medium","FALSE","Low","Low","Medium","Low","Low","Low","Medium","Lowest","YES","NO","YES","Low","High","High","High"
"1128","Public","High","Low","Low","Lowest","Lowest","Lowest","FALSE","High","Highest","High","High","High","High","Medium","High","YES","NO","NO","Low","High","High","High"
"1129","Public","Medium","High","Low","Lowest","Lowest","Lowest","FALSE","Highest","High","Low","High","Highest","Highest","Low","High","YES","NO","NO","Low","High","High","High"
"1130","Public","Highest","Lowest","Low","Lowest","Lowest","Lowest","FALSE","Medium","Medium","Medium","Medium","Medium","Medium","Lowest","High","YES","NO","NO","Low","High","High","High"
"1132","Public","Medium","Lowest","Low","Lowest","Lowest","Highest","FALSE","Medium","Medium","High","Medium","Medium","Low","Highest","Lowest","YES","NO","NO","Low","High","High","High"
"1133","Public","High","Highest","Low","Medium","Medium","Lowest","FALSE","Lowest","Lowest","Low","High","High","Medium","Medium","Medium","YES","NO","NO","Low","High","High","High"
"1134","Public","Medium","Lowest","Low","Low","Lowest","Highest","FALSE","Lowest","Lowest","Low","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Low","High","High","High"
"1135","Public","Lowest","Medium","Low","Lowest","Lowest","High","FALSE","Low","Highest","Medium","Low","Medium","Medium","Highest","Lowest","YES","NO","NO","Low","High","High","High"
"1136","Public","High","High","Low","Low","Low","Low","FALSE","Highest","High","High","High","Highest","High","Lowest","High","YES","NO","YES","Low","High","High","High"
"1137","Public","High","Medium","Low","Lowest","Lowest","Low","FALSE","Low","Medium","Medium","Lowest","Low","Medium","Low","Medium","YES","NO","NO","Low","High","High","High"
"1138","Public","High","Low","Low","Lowest","Lowest","Medium","FALSE","Low","Medium","Low","Lowest","Lowest","Low","High","Medium","YES","NO","NO","Low","High","High","High"
"1140","Public","Lowest","Medium","Lowest","Lowest","Lowest","Low","FALSE","High","Medium","High","Medium","Highest","High","Lowest","Highest","YES","NO","NO","Low","High","High","High"
"1141","Public","Highest","Medium","Low","Lowest","Lowest","Lowest","FALSE","High","Highest","Highest","High","Highest","High","Lowest","High","YES","NO","NO","Low","High","High","High"
"1142","Public","Low","Medium","Low","Lowest","Lowest","Medium","FALSE","Medium","Low","Low","Highest","Highest","Lowest","Lowest","Medium","YES","NO","NO","Low","High","High","High"
"1143","Public","Highest","Highest","Low","Lowest","Lowest","Lowest","FALSE","High","High","Highest","Medium","Highest","Medium","Medium","High","YES","NO","NO","Low","High","High","High"
"1144","Public","Highest","Medium","Low","Lowest","Lowest","Lowest","FALSE","Medium","Medium","High","Low","Medium","Highest","Lowest","Highest","YES","NO","NO","Low","High","High","High"
"1145","Public","Highest","Medium","Low","Lowest","Lowest","Medium","FALSE","High","High","High","Medium","Medium","Medium","Lowest","High","YES","NO","NO","Low","High","High","High"
"1146","Public","Medium","Medium","Low","Lowest","Lowest","Medium","FALSE","Medium","High","Medium","Low","High","Medium","Low","Medium","YES","NO","NO","Low","High","High","High"
"1147","Public","Medium","Medium","Low","Lowest","Lowest","Medium","FALSE","Medium","Medium","Medium","Lowest","Medium","Low","Lowest","Highest","YES","NO","NO","Low","High","High","High"
"1149","Public","Low","Lowest","Low","Lowest","Lowest","High","FALSE","Highest","Highest","Medium","Highest","Highest","Highest","Lowest","Medium","YES","NO","NO","Low","High","High","High"
"1151","Public","Lowest","Medium","Low","Lowest","Lowest","High","FALSE","Lowest","Low","Lowest","Lowest","Lowest","Lowest","High","Lowest","YES","NO","NO","Low","High","High","High"
"1154","Public","High","Lowest","Low","Lowest","Lowest","Medium","FALSE","High","Highest","High","High","High","Highest","Low","High","YES","NO","NO","Low","High","High","High"
"1155","Public","Highest","Highest","Low","Low","Low","Lowest","FALSE","High","High","Highest","High","Highest","High","Medium","High","YES","NO","NO","Low","High","High","High"
"1156","Public","Medium","Medium","Low","Lowest","Lowest","High","FALSE","High","High","High","Medium","Highest","High","Lowest","High","YES","NO","NO","Low","High","High","High"
"1157","Public","Highest","Lowest","Low","Lowest","Lowest","Low","FALSE","High","Highest","Highest","High","Highest","High","Lowest","Highest","YES","NO","NO","Low","High","High","High"
"1159","Public","Highest","Low","Low","Lowest","Lowest","Lowest","FALSE","Lowest","Lowest","Medium","High","High","Low","Low","High","YES","NO","YES","Low","High","High","High"
"1160","Public","Highest","High","Low","Low","Lowest","Low","FALSE","Highest","Highest","High","Medium","Low","Highest","Lowest","High","YES","NO","NO","Low","High","High","High"
"1162","Public","High","Medium","Low","Lowest","Lowest","Lowest","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Lowest","High","YES","NO","NO","Low","High","High","High"
"1163","Public","High","Medium","Low","Lowest","Lowest","Lowest","FALSE","Medium","Medium","High","High","Medium","High","High","Medium","YES","NO","NO","Low","High","High","High"
"1164","Public","High","High","Lowest","Lowest","Lowest","Medium","FALSE","High","High","Medium","Medium","High","Medium","Low","High","YES","NO","NO","Low","High","High","High"
"1165","Public","High","Lowest","Low","Lowest","Lowest","Medium","FALSE","Low","Medium","Medium","High","Low","High","Low","Low","YES","NO","NO","Low","High","High","High"
"1166","Public","High","Low","Low","Low","Lowest","Highest","FALSE","Lowest","Lowest","Low","Low","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Low","High","High","High"
"1168","Public","Medium","Low","Low","Lowest","Lowest","Medium","FALSE","Highest","Highest","Highest","High","High","High","High","Lowest","YES","NO","NO","Low","High","High","High"
"1169","Public","High","Low","Low","Lowest","Lowest","Low","FALSE","Highest","Highest","Highest","Medium","High","Highest","Low","High","YES","NO","NO","Low","High","High","High"
"1171","Public","High","High","Low","Lowest","Lowest","Lowest","FALSE","Medium","High","High","Highest","High","Highest","Medium","High","YES","NO","NO","Low","High","High","High"
"1172","Public","Highest","Lowest","Lowest","Lowest","Lowest","High","FALSE","Lowest","Lowest","Lowest","Low","Low","Medium","Highest","Lowest","YES","NO","YES","Low","High","High","High"
"1173","Public","Medium","Low","Low","Lowest","Lowest","Low","FALSE","Highest","Highest","High","Highest","High","Highest","Low","High","YES","NO","NO","Low","High","High","High"
"1174","Public","Highest","Lowest","Low","Lowest","Lowest","Low","FALSE","Highest","Highest","Highest","Highest","High","Medium","Low","Medium","YES","NO","NO","Low","High","High","High"
"1175","Public","High","Medium","Low","Low","Low","Low","FALSE","Medium","Low","High","Low","High","High","Lowest","High","YES","NO","NO","Low","High","High","High"
"1177","Public","Highest","Lowest","Low","Lowest","Lowest","Lowest","FALSE","Low","Medium","Low","High","Medium","Medium","Lowest","Medium","YES","NO","NO","Low","High","High","High"
"1178","Public","High","Low","Low","Lowest","Lowest","Lowest","FALSE","Highest","Highest","Highest","Medium","Highest","Highest","Lowest","Highest","YES","NO","NO","Low","High","High","High"
"1179","Public","Medium","Low","Low","Lowest","Lowest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Low","High","High","High"
"1181","Public","Medium","High","Low","Lowest","Lowest","Lowest","FALSE","High","High","Highest","Highest","Highest","Highest","Medium","High","YES","NO","NO","Low","High","High","High"
"1182","Public","Medium","Medium","Low","Lowest","Lowest","Low","FALSE","Medium","Medium","High","Lowest","Lowest","Lowest","Highest","Medium","YES","NO","NO","Low","High","High","High"
"1183","Public","Highest","Medium","Low","Lowest","Lowest","Low","FALSE","Medium","High","Medium","Highest","Highest","Highest","Low","Medium","YES","NO","NO","Low","High","High","High"
"1184","Public","High","Lowest","Low","Lowest","Lowest","High","FALSE","Medium","Highest","High","Low","Lowest","Low","Medium","Lowest","YES","NO","NO","Low","High","High","High"
"1185","Public","Highest","Medium","Lowest","Lowest","Lowest","Lowest","FALSE","Medium","Low","Low","High","High","High","High","Medium","YES","NO","NO","Low","High","High","High"
"1186","Public","Lowest","Medium","Low","Lowest","Lowest","Low","FALSE","High","Highest","Low","Medium","Low","Lowest","Low","High","YES","NO","NO","Low","High","High","High"
"1187","Public","Low","Lowest","Low","Low","Low","Highest","FALSE","Low","Lowest","Low","Lowest","Lowest","Low","Highest","Lowest","YES","NO","NO","Low","Low","Low","Low"
"1188","Public","Highest","Lowest","Low","Low","Low","Lowest","FALSE","Highest","High","High","High","High","Medium","Medium","Medium","YES","NO","YES","Low","Low","Low","Low"
"1189","Public","Low","Lowest","Low","Low","Low","Highest","FALSE","Medium","Low","Medium","High","Medium","Medium","Highest","Lowest","YES","NO","NO","Low","Low","Low","Low"
"1190","Public","High","Lowest","Low","Low","Low","Medium","FALSE","Medium","Low","Low","Low","Low","Lowest","Lowest","Low","YES","NO","NO","Low","Low","Low","Low"
"1191","Public","Lowest","Lowest","Low","Low","Low","High","FALSE","Medium","Medium","Lowest","Lowest","Lowest","Lowest","Highest","Low","YES","NO","NO","Low","Low","Low","Low"
"1192","Public","Medium","Lowest","Low","Low","Low","High","FALSE","Low","High","Medium","Low","High","Medium","Lowest","Low","YES","NO","NO","Low","Low","Low","Low"
"1193","Public","Highest","Lowest","Low","Low","Low","Medium","FALSE","High","High","High","Medium","Highest","Low","Low","Low","YES","YES","NO","Low","Low","Low","Low"
"1197","Public","Low","Lowest","Low","Low","Low","Low","FALSE","Highest","Highest","Highest","Highest","Highest","High","Medium","Medium","YES","NO","NO","Low","Low","Low","Low"
"1198","Public","High","Lowest","Low","Low","Low","Highest","FALSE","Low","Low","Low","Medium","Medium","Medium","High","Lowest","YES","NO","NO","Low","Low","Low","Low"
"1199","Public","Highest","Lowest","Low","Low","Low","Lowest","FALSE","High","Low","Low","Medium","Low","Medium","Lowest","Medium","YES","NO","YES","Low","Low","Low","Low"
"1201","Public","Medium","Lowest","Low","Low","Low","Medium","FALSE","High","Highest","Highest","High","Medium","Low","Low","Medium","YES","NO","NO","Low","Low","Low","Low"
"1202","Public","Low","Lowest","Low","Low","Low","Low","FALSE","Low","Low","Medium","Medium","Medium","High","Low","Lowest","YES","NO","NO","Low","Low","Low","Low"
"1204","Public","Lowest","Lowest","Low","Low","Low","Low","FALSE","Low","Lowest","Low","Medium","Medium","Lowest","Low","Low","YES","NO","NO","Low","Low","Low","Low"
"1205","Public","Lowest","Lowest","Low","Low","Low","Highest","FALSE","Lowest","Low","High","Medium","Lowest","Medium","Lowest","Low","YES","NO","NO","Low","Low","Low","Low"
"1207","Public","Lowest","Lowest","Low","Low","Low","Medium","FALSE","Low","Low","Medium","Medium","Low","Lowest","Medium","Lowest","YES","NO","NO","Low","Low","Low","Low"
"1208","Public","Medium","Low","Low","Medium","Medium","High","FALSE","Lowest","Lowest","Low","Low","Lowest","Lowest","Highest","Medium","YES","NO","NO","Low","Low","Low","Low"
"1209","Public","Highest","Lowest","Low","Lowest","Lowest","Lowest","TRUE","High","Medium","Medium","High","High","High","Medium","Low","YES","NO","YES","Low","Low","Low","Low"
"1211","Public","Medium","Lowest","Low","Low","Low","Low","FALSE","Lowest","Low","Lowest","Low","Low","Low","Medium","Lowest","YES","NO","NO","Low","Low","Low","Low"
"1212","Public","Low","Lowest","Low","Low","Low","Highest","FALSE","Medium","Lowest","Lowest","Medium","Medium","Lowest","High","Lowest","YES","NO","NO","Low","Low","Low","Low"
"1213","Public","Highest","Lowest","Low","Lowest","Lowest","High","FALSE","High","Medium","Highest","Low","Low","Medium","Low","Medium","YES","NO","NO","Low","Low","Low","Low"
"1214","Public","Low","Lowest","Low","Low","Low","Medium","FALSE","Lowest","Low","Low","Low","Low","High","High","Medium","YES","NO","NO","Low","Low","Low","Low"
