"","BoardID","SchoolID","Board.Type","School.Type","School.Special.Condition.Code","School.Language","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Percentage.of.Students.Identified.as.Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Junior.Kindergarten.Enrolment","Kindergarten.Enrolment","Grade.1.Enrolment","Grade.2.Enrolment","Grade.3.Enrolment","Grade.4.Enrolment","Grade.5.Enrolment","Grade.6.Enrolment","Grade.7.Enrolment","Grade.8.Enrolment","Board.Language","Elementary.Male.Educators","Elementary.Female.Educators"
"775","B66052","137030","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",393,"39.7","100","9.9","10.4","32.5","29.7","90%","90%","82%","93%","95%","86%","10.6","88.3","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"776","B66052","137090","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",113,"36.3","100","SP","SP","22.1",NA,"82%","82%","36%","N/D","N/D","N/D","30.9","24.6","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"777","B66052","321699","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",395,"68.6","100","14.4","14.4","11.3","SP","68%","68%","60%","85%","85%","71%","22","40.9","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"778","B66052","270342","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",396,"25.3","99.5","11.1","11.1","13.6","SP","96%","93%","96%","93%","93%","88%","11.8","68.9","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"779","B66052","171026","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",368,"56.8","100","14.9","14.9","20.6",NA,"N/D","N/D","N/D","69%","76%","33%","35","26.2","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"780","B66052","448052","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",405,"19.8","100","SP","SP","7.6","SP","85%","79%","67%","N/D","N/D","N/D","11.4","71.7","YES","YES","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"781","B66052","139041","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",458,"41.5","99.3","6.8","7","8.9",NA,"50%","67%","48%","N/D","N/D","N/D","34","22.2","YES","NO","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"782","B66052","171280","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",262,"13","99.6","SP","SP","35.8","20.6","73%","60%","53%","88%","90%","68%","10","67","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"783","B66052","364690","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",477,"57.4","100","27.5","27.5","14.4",NA,"63%","52%","37%","62%","58%","29%","59.5","31.9","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"785","B66052","448958","Pub Dist Sch Brd (E/F)","Public","Junior High School","English",298,"64.4","98.7","14.8","15.4","13.4","SP","N/D","N/D","N/D","91%","86%","53%","24.1","69.4","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"786","B66052","139955","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",480,"26.3","96.3","4","4.2","9.3","2","90%","70%","77%","95%","97%","64%","16","68.5","YES","NO","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"787","B66052","237655","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",202,"10.9","99","SP","SP","4.9",NA,"92%","76%","72%","96%","88%","54%","12.2","62.2","YES","YES","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"788","B66052","326500","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",155,"71.6","100","9","9","20",NA,"78%","67%","61%","N/R","N/R","N/R","31.3","51.5","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"789","B66052","536393","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",424,"87","100","14.9","14.9","12.2",NA,"92%","89%","87%","78%","70%","62%","25.7","42.6","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"790","B66052","140996","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",679,"54.3","100","16.1","16.2","20.1","SP","62%","46%","35%","68%","65%","28%","40.2","37.7","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"791","B66052","176796","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",363,"49.3","100","8","7.7","28",NA,"93%","86%","71%","62%","56%","16%","35.9","25.6","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"792","B66052","141380","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",381,"50.7","99.5","11.8","11.5","22.3","SP","N/D","N/D","N/D","80%","76%","50%","28.6","62.6","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"793","B66052","141410","Pub Dist Sch Brd (E/F)","Public","Junior High School","English",258,"50.8","98.8","8.9","8.5","20.5","SP","N/D","N/D","N/D","97%","93%","65%","27.6","70.9","YES","NO","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"794","B66052","450138","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",217,"19.4","100","SP","SP","17",NA,"81%","77%","65%","81%","65%","32%","11.1","58.5","YES","YES","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"795","B66052","141640","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",370,"50.3","100","12.2","12.7","47.2","22.9","N/D","N/D","N/D","73%","72%","47%","32.6","56.5","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"796","B66052","141771","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",690,"71","100","8.8","9","11.7","SP","84%","77%","66%","81%","82%","36%","44.9","34.6","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"797","B66052","536970","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",261,"59.8","99.6","6.1","6.1","17.6",NA,"73%","68%","56%","N/D","N/D","N/D","29.1","17.6","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"798","B66052","211320","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",376,"41.5","97.3","6.6","6.6","14.8","SP","60%","35%","29%","64%","62%","32%","32.2","43.4","YES","NO","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"799","B66052","596256","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",235,"41.3","100","17.4","17.4","24.2",NA,"41%","45%","38%","65%","65%","35%","43.3","23.5","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"801","B66052","451320","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",371,"75.2","100","16.7","16.7","10.2",NA,"95%","95%","98%","91%","94%","94%","23.4","19","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"802","B66052","329134","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",285,"25.6","100","SP","SP","13.6","SP","100%","100%","60%","87%","92%","50%","23.5","31.7","YES","YES","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"803","B66052","329177","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",366,"33.9","99.7","SP","SP","21.8",NA,"58%","71%","23%","72%","67%","36%","33.6","28.3","YES","NO","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"804","B66052","145548","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",390,"29.7","99.7","5.9","5.9","20.2","SP","61%","39%","48%","59%","51%","19%","17.6","49.3","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"805","B66052","255416","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",158,"8.2","100",NA,NA,"15.8","SP","89%","72%","61%","N/R","N/R","N/R","12.7","66.7","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"807","B66052","245380","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",193,"49.7","100","12.4","13","10.8",NA,"86%","86%","82%","76%","64%","40%","16.3","84.3","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"808","B66052","278165","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",324,"73.1","100","8","8","40.7","29.6","80%","76%","64%","91%","89%","86%","21.8","34.1","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"809","B66052","146978","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",210,"51.9","100","15.7","16.2","17.1",NA,"57%","57%","40%","N/D","N/D","N/D","32.9","25.7","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"810","B66052","146998","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",55,"21.8","98.2","SP","SP","23.6",NA,"N/D","N/D","N/D","82%","82%","9%","33","42","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"811","B66052","331635","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",408,"65.2","100","12.3","12.3","14.7",NA,"65%","53%","37%","75%","79%","28%","40.4","51.8","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"812","B66052","542040","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",381,"8.9","100","SP","SP","26.7","24.4","95%","97%","84%","98%","95%","83%","6.9","79.6","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"813","B66052","157635","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",461,"8.9","99.1","2.4","2.4","9.9","SP","79%","69%","67%","95%","85%","30%","10.3","77.1","YES","NO","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"814","B66052","249807","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",145,"40","100","SP","SP","12.4",NA,"59%","50%","50%","92%","69%","38%","25.2","22.4","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"815","B66052","609250","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",574,"8.2","98.4","4","4","8.3",NA,"58%","54%","56%","98%","92%","65%","7.5","83.2","YES","NO","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"816","B66052","147605","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",294,"50.7","100","7.8","7.5","21.7",NA,NA,NA,NA,NA,NA,NA,"34.9","35.1","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"818","B66052","543470","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",306,"SP","100","SP","SP","9.4","SP","98%","98%","100%","N/D","N/D","N/D","4","87.7","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"819","B66052","216003","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",331,"12.7","99.7","3.6","3.6","14.1","SP","85%","91%","82%","94%","88%","62%","16.4","67.8","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"821","B66052","196550","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",406,"42.1","99.8","5.9","5.9","13.5",NA,"78%","85%","48%","N/D","N/D","N/D","51.4","13.1","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"822","B66052","252271","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",176,"39.2","100","SP","SP","16.4",NA,"71%","68%","62%","84%","88%","40%","29.3","42.9","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"823","B66052","544388","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",909,"21.1","99","6.6","7","10.4","1.9","94%","89%","82%","99%","99%","80%","16.3","80.5","YES","YES","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"824","B66052","216917","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",409,"5.9","98.5","SP","SP","17.1","SP",NA,NA,NA,NA,NA,NA,"8.7","81.7","YES","YES","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"825","B66052","149055","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",446,"23.8","99.8","8.7","9","16.8",NA,"53%","35%","18%","N/D","N/D","N/D","48.8","14.2","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"826","B66052","252816","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",317,"65.6","100","6.6","6.6","18.2","SP",NA,NA,NA,NA,NA,NA,"36.8","39.4","YES","YES","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"828","B66052","151262","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",316,"57","99.4","15.2","15.2","32.9","SP","N/D","N/D","N/D","75%","78%","55%","24.4","50.1","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"829","B66052","547875","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",334,"78.4","98.8","31.4","31.4","8",NA,"84%","77%","71%","58%","61%","32%","42.5","64.4","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"830","B66052","151653","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",888,"17.5","99.7","1.6","1.6","25.9","9.4","72%","62%","53%","90%","86%","54%","20.9","66.2","YES","YES","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"831","B66052","253405","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",326,"50.3","100","4.3","4.3","14.1",NA,"85%","85%","70%","81%","74%","59%","15.1","23.5","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"832","B66052","191485","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",312,"66","100","8","8","48.7","38.1","83%","87%","70%","94%","96%","81%","34","47.5","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"833","B66052","153214","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",380,"34.7","99.5","2.9","2.9","10.5",NA,"69%","61%","58%","N/D","N/D","N/D","29.2","43.8","YES","YES","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"834","B66052","153478","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",421,"40.1","100","13.5","13.5","10.4",NA,"82%","91%","89%","97%","95%","79%","14.6","78.6","YES","YES","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"835","B66052","457809","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",353,"39.4","99.7","7.1","6.8","16.4",NA,"77%","81%","75%","N/D","N/D","N/D","16.6","65.3","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"836","B66052","305707","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",129,"31.8","100","SP","SP","27.1",NA,"41%","47%","35%","N/R","N/R","N/R","38.1","24","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"837","B66052","615366","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",421,"12.4","99.5","SP","SP","33.4","10.9",NA,NA,NA,NA,NA,NA,"15.1","60.9","YES","YES","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"838","B66052","624756","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",389,"31.6","99.7","6.2","6.2","14.9",NA,"44%","53%","28%","N/D","N/D","N/D","57.7","13.8","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
