Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education,Extract Date
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),448940,Dundana Public School,Public,Not applicable,Elementary,English,JK-5,,,23 Dundana Avenue,Hamilton,Dundas,Ontario,L9H4E5,905-628-2622,905-628-2699,http://schools.hwdsb.on.ca/dundana/,http://www.hwdsb.on.ca, 356 ,43.25836,-79.95081,3.1,99.4,SP,SP,7.3,NA,75%,-3,70%,7,52%,-11,N/D,NA,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,6.2,70.4,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),153087,Dundas Central Public School,Public,Not applicable,Elementary,English,JK-8,,,73 Melville Street,Hamilton,Dundas,Ontario,L9H2A2,905-627-3521,905-627-3522,http://schools.hwdsb.on.ca/dundascentral/,http://www.hwdsb.on.ca, 413 ,43.26938,-79.95817,7.3,100,SP,SP,20.8,SP,75%,14,67%,2,58%,3,83%,1,75%,-1,39%,-6,NA,NA,NA,NA,NA,NA,16.8,57.5,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),916579,Dundas Valley Secondary School,Public,Not applicable,Secondary,English,9-12,,,310 Governor's Road,Hamilton,Dundas,Ontario,L9H5P8,905-628-2203,905-627-2904,http://schools.hwdsb.on.ca/dundasvalley,http://www.hwdsb.on.ca, 916 ,43.25795,-79.97673,6.6,99.9,SP,SP,26.8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84%,2,46%,19,79%,-5,9.1,43.2,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),158151,Earl Kitchener Junior Public School,Public,Not applicable,Elementary,English,JK-5,,,300 Dundurn Street South,Hamilton,Hamilton,Ontario,L8P4L3,905-528-0223,905-528-6794,http://schools.hwdsb.on.ca/earlkitchener/,http://www.hwdsb.on.ca, 566 ,43.25263,-79.89246,9.7,99.5,4.2,4.4,7.5,2.4,88%,5,67%,-5,60%,5,N/D,NA,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,16.7,65.1,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),171123,Elizabeth Bagshaw School,Public,Not applicable,Elementary,English,JK-8,,,350 Albright Road,Hamilton,Hamilton,Ontario,L8K5J4,905-561-9520,905-561-7461,http://schools.hwdsb.on.ca/elizabethbagshaw/,http://www.hwdsb.on.ca, 407 ,43.21931,-79.79769,24.3,99.8,3.7,3.7,23,NA,50%,0,55%,11,40%,18,62%,2,58%,-2,30%,16,NA,NA,NA,NA,NA,NA,39.6,25.5,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),196240,Fessenden School,Public,Not applicable,Elementary,English,JK-6,,,168 Huron Avenue,Hamilton,Ancaster,Ontario,L9G1V7,905-648-4115,905-648-4280,http://schools.hwdsb.on.ca/fessenden/,http://www.hwdsb.on.ca, 528 ,43.20929,-79.99197,16.9,99.4,3.2,3.2,6.4,NA,92%,10,81%,0,58%,3,92%,-4,94%,6,73%,17,NA,NA,NA,NA,NA,NA,7.8,63.7,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),198668,Flamborough Centre School,Public,Not applicable,Elementary,English,JK-8,,,922 Centre Road R. R. #2,Hamilton,Hamilton,Ontario,L8N2Z7,905-689-6636,905-689-2026,http://schools.hwdsb.on.ca/flamboroughcentre/,http://www.hwdsb.on.ca, 254 ,43.35867,-79.93219,9.4,100,SP,SP,14.9,NA,N/R,NA,N/R,NA,N/R,NA,87%,-1,87%,-1,45%,-32,NA,NA,NA,NA,NA,NA,18.1,43.8,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),203912,Franklin Road Elementary Public School,Public,Not applicable,Elementary,English,JK-8,,,500 Franklin Road,Hamilton,Hamilton,Ontario,L8V2A4,905-388-4731,905-388-3213,http://schools.hwdsb.on.ca/franklinroad/,http://www.hwdsb.on.ca, 520 ,43.22549,-79.85117,22.7,100,7.7,7.7,13.2,SP,64%,15,70%,6,36%,-8,69%,-1,52%,-10,19%,-9,NA,NA,NA,NA,NA,NA,31,29.6,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),114477,Gatestone Elementary Public School,Public,Not applicable,Elementary,English,JK-8,,,127 Gatestone Drive,Hamilton,Stoney Creek,Ontario,L8J3Z5,905-573-1131,905-573-3127,http://schools.hwdsb.on.ca/gatestone/,http://www.hwdsb.on.ca, 595 ,43.18143,-79.78872,38.2,99.7,SP,SP,15.7,SP,79%,-3,79%,-2,71%,-4,72%,-9,70%,-8,51%,29,NA,NA,NA,NA,NA,NA,17.9,31.8,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),212490,George L Armstrong Public School,Public,Not applicable,Elementary,English,JK-8,,,460 Concession Street,Hamilton,Hamilton,Ontario,L9A1C3,905-385-5337,905-385-8996,http://schools.hwdsb.on.ca/georgelarmstrong/,http://www.hwdsb.on.ca, 497 ,43.24135,-79.85607,10.5,100,6,6,16.7,NA,30%,-13,18%,-16,28%,2,43%,-21,36%,-17,5%,-4,NA,NA,NA,NA,NA,NA,21.7,23.2,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),217050,Glen Brae Middle School,Public,Not applicable,Elementary,English,6-8,,,50 Secord Drive,Hamilton,Hamilton,Ontario,L8K3W7,905-560-6732,905-560-2571,http://schools.hwdsb.on.ca/glenbrae/,http://www.hwdsb.on.ca, 325 ,43.22782,-79.77924,29.8,100,SP,SP,20.3,SP,N/D,NA,N/D,NA,N/D,NA,82%,2,81%,10,46%,13,NA,NA,NA,NA,NA,NA,30.6,24.4,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),217301,Glen Echo Junior Public School,Public,Not applicable,Elementary,English,JK-5,,,140 Glen Echo Drive,Hamilton,Hamilton,Ontario,L8K4J1,905-560-6630,905-560-0798,http://schools.hwdsb.on.ca/glenecho/,http://www.hwdsb.on.ca, 327 ,43.22577,-79.77845,36.1,99.7,7,7,9.1,NA,64%,9,47%,-5,31%,-14,N/D,NA,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,31.4,21.9,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),913081,Glendale Secondary School,Public,Not applicable,Secondary,English,9-12,,,145 Rainbow Drive,Hamilton,Hamilton,Ontario,L8K4G1,905-560-7343,905-578-5538,http://schools.hwdsb.on.ca/glendale/,http://www.hwdsb.on.ca, 886 ,43.22524,-79.78025,44.9,99.7,7,7,26.9,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71%,-5,27%,-12,69%,-8,27.4,22,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),673013,Glenwood Special Day School,Public,Not applicable,Elementary,English,K-8,,,150 Lower Horning Road,Hamilton,Hamilton,Ontario,L8S4P2,905-525-2140,905-525-2312,http://schools.hwdsb.on.ca/glenwood/,http://www.hwdsb.on.ca, 48 ,43.24922,-79.93455,33.3,100,SP,SP,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,32.1,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),222135,Gordon Price School,Public,Not applicable,Elementary,English,JK-8,,,11 Guildwood Drive,Hamilton,Hamilton,Ontario,L9C7K2,905-574-6336,905-574-4802,http://schools.hwdsb.on.ca/gordonprice/,http://www.hwdsb.on.ca, 385 ,43.22309,-79.91974,37.1,100,7.8,7.8,12.7,NA,78%,-1,65%,-17,51%,-23,85%,17,82%,5,30%,-11,NA,NA,NA,NA,NA,NA,24.9,29.8,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),229130,Green Acres School,Public,Not applicable,Elementary,English,JK-8,,,45 Randall Avenue,Hamilton,Stoney Creek,Ontario,L8G2K8,905-662-7021,905-662-6236,http://schools.hwdsb.on.ca/greenacres/,http://www.hwdsb.on.ca, 278 ,43.22099,-79.76342,37.8,99.6,7.2,7.2,19.4,NA,54%,-2,36%,-5,25%,10,72%,-14,72%,-14,32%,1,NA,NA,NA,NA,NA,NA,29,44.3,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),233552,Guy B Brown Elementary Public School,Public,Not applicable,Elementary,English,JK-8,,,55 Braeheid Avenue,Hamilton,Waterdown,Ontario,L8B0C5,905-689-8254,905-689-8740,http://guybrown.hwdsb.on.ca/,http://www.hwdsb.on.ca, 668 ,43.32860074,-79.90853579,7.6,99.9,SP,SP,10.9,SP,82%,-3,81%,7,52%,-10,74%,-10,72%,-7,26%,-14,NA,NA,NA,NA,NA,NA,7.4,54.6,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),252557,Helen Detwiler Junior Elementary School,Public,Not applicable,Elementary,English,JK-8,,,320 Brigade Drive,Hamilton,Hamilton,Ontario,L9B2E3,905-574-2662,905-574-7759,www.hwdsb.on.ca/helendetwiler/,http://www.hwdsb.on.ca, 518 ,43.20279,-79.87855,35.9,99.8,2.5,2.5,10,SP,63%,-1,50%,-14,24%,-24,73%,17,60%,6,18%,2,NA,NA,NA,NA,NA,NA,29.6,33.8,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),254096,Hess Street Junior Public School,Public,Not applicable,Elementary,English,JK-8,,,107 Hess Street North,Hamilton,Hamilton,Ontario,L8R2T1,905-527-1439,905-527-8659,http://schools.hwdsb.on.ca/hessstreet/,http://www.hwdsb.on.ca, 337 ,43.26341,-79.87564,70.9,99.1,28.2,28.2,32,NA,36%,13,60%,23,28%,5,51%,5,49%,0,31%,2,NA,NA,NA,NA,NA,NA,51.8,18.9,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),256048,Highview Public School,Public,Not applicable,Elementary,English,JK-8,,,1040 Queensdale Avenue East,Hamilton,Hamilton,Ontario,L8T1J4,905-385-2341,905-385-4701,http://schools.hwdsb.on.ca/highview/,http://www.hwdsb.on.ca, 469 ,43.23057,-79.8314,13.4,99.8,3.4,3.4,12.3,SP,51%,-1,47%,1,33%,-7,77%,12,75%,14,40%,15,NA,NA,NA,NA,NA,NA,20.7,24.1,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),891401,Hill Park SAE/James Street,Public,Not applicable,Secondary,English,9-12,Suite 104,,100 James Street,Hamilton,Hamilton,Ontario,L8P2Z2,905-383-5111,,http://www.hwdsb.on.ca/programs/achievementcenter/,http://www.hwdsb.on.ca, 51 ,43.22512,-79.84249,SP,100,SP,SP,52.9,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/R,NA,N/R,NA,N/R,NA,26.9,21.3,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),220145,Hillcrest Elementary Public School,Public,Not applicable,Elementary,English,JK-8,,,40 Eastwood Street,Hamilton,Hamilton,Ontario,L8H6R7,905-549-3076,905-549-4812,http://schools.hwdsb.on.ca/hillcrest/,http://www.hwdsb.on.ca, 505 ,43.239545,-79.778391,23.2,99.8,SP,SP,24.5,NA,65%,24,58%,5,40%,7,74%,4,72%,6,48%,16,NA,NA,NA,NA,NA,NA,49.7,11.2,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),261378,Holbrook Junior Public School,Public,Not applicable,Elementary,English,JK-6,,,450 Sanatorium Road,Hamilton,Hamilton,Ontario,L9C2B1,905-385-5369,905-385-6144,www.hwdsb.on.ca/holbrook,http://www.hwdsb.on.ca, 201 ,43.23711,-79.91387,30.8,100,8.5,8.5,20.8,NA,77%,22,77%,22,38%,-17,55%,0,62%,-6,38%,11,NA,NA,NA,NA,NA,NA,16.7,30.7,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),273201,Huntington Park Junior Public School,Public,Not applicable,Elementary,English,JK-8,,,80 Kingslea Drive,Hamilton,Hamilton,Ontario,L8T4A5,905-383-3305,905-383-1760,http://schools.hwdsb.on.ca/huntingtonpark/,http://www.hwdsb.on.ca, 446 ,43.22033,-79.82722,13.7,100,3.8,3.8,13,NA,54%,-3,65%,4,37%,0,77%,8,66%,0,18%,1,NA,NA,NA,NA,NA,NA,16.4,30.7,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),281492,James MacDonald Public School,Public,Not applicable,Elementary,English,JK-6,,,200 Chester Avenue,Hamilton,Hamilton,Ontario,L9C2X1,905-385-3267,905-385-1065,http://schools.hwdsb.on.ca/jamesmacdonald/,http://www.hwdsb.on.ca, 334 ,43.21795,-79.89725,41.6,99.7,7.8,7.8,8.6,NA,80%,3,69%,0,57%,-10,78%,-4,83%,-2,24%,-17,NA,NA,NA,NA,NA,NA,14.4,46.5,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),281026,Janet Lee Public School,Public,Not applicable,Elementary,English,JK-8,,,291 Winterberry Drive,Hamilton,Stoney Creek,Ontario,L8J2N5,905-573-9113,905-573-7923,www.hwdsb.on.ca/janetlee/,http://www.hwdsb.on.ca, 432 ,43.19156,-79.80658,42.8,99.8,4.2,4.2,7.4,SP,78%,3,82%,11,72%,1,85%,8,72%,-5,50%,16,NA,NA,NA,NA,NA,NA,12.8,44.6,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),927163,King William Alter Ed Secondary School,Public,Not applicable,Secondary,English,9-12,,,225 King William Street,Hamilton,Hamilton,Ontario,L8P2Z2,905-526-9337,,www.hwdsb.on.ca/kingwilliam,http://www.hwdsb.on.ca, 78 ,43.255406,-79.860385,SP,100,NA,NA,57.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,NA,N/R,NA,N/R,NA,28.2,18.8,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),303755,Lake Avenue Public School,Public,Not applicable,Elementary,English,JK-8,,,157 Lake Avenue North,Hamilton,Stoney Creek,Ontario,L8E1L5,905-561-0402,905-561-3136,http://schools.hwdsb.on.ca/lakeavenue/,http://www.hwdsb.on.ca, 482 ,43.232,-79.75553,79,100,19.9,19.9,8.2,SP,71%,20,63%,4,51%,10,71%,17,58%,4,29%,1,NA,NA,NA,NA,NA,NA,49.7,37.3,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),094608,Lawfield Elementary School,Public,Not applicable,Elementary,English,JK-8,,,45 Berko Avenue,Hamilton,Hamilton,Ontario,L8V2R3,905-387-0062,905-383-8833,www.hwdsb.on.ca/lawfield,http://www.hwdsb.on.ca, 707 ,43.216252,-79.848431,26.9,99.9,6.6,6.6,10.6,SP,56%,4,41%,-1,20%,-10,69%,7,66%,9,14%,-16,NA,NA,NA,NA,NA,NA,24.8,22,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),313173,Lincoln Alexander Public School,Public,Not applicable,Elementary,English,JK-6,,,50 Ravenbury Drive,Hamilton,Hamilton,Ontario,L8W2B5,905-574-4044,905-574-7281,http://schools.hwdsb.on.ca/lincolnalexander/,http://www.hwdsb.on.ca, 246 ,43.20591,-79.85238,38.2,100,6.9,6.9,15,NA,67%,7,60%,10,43%,10,76%,19,84%,19,60%,38,NA,NA,NA,NA,NA,NA,23,35,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),314544,Lisgar Junior Public School,Public,Not applicable,Elementary,English,JK-8,,,110 Anson Avenue,Hamilton,Hamilton,Ontario,L8T2X6,905-389-1309,905-389-6066,http://schools.hwdsb.on.ca/lisgar/,http://www.hwdsb.on.ca, 295 ,43.21209,-79.8299,26.4,99,4.1,4.1,18.3,NA,61%,19,59%,17,51%,12,76%,-13,76%,1,27%,-9,NA,NA,NA,NA,NA,NA,29,14.3,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),345873,Mary Hopkins Public School,Public,Not applicable,Elementary,English,JK-5,,P.O. Box 590,211 Mill Street North,Hamilton,Waterdown,Ontario,L0R2H0,905-689-7905,905-689-7929,http://maryhopkins.hwdsb.on.ca/,http://www.hwdsb.on.ca, 389 ,43.33812,-79.8979,13.1,100,SP,SP,9.7,NA,72%,-3,65%,-19,63%,4,N/D,NA,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,39.3,30,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),360309,Memorial (City) School,Public,Not applicable,Elementary,English,JK-8,,,1175 Main Street East,Hamilton,Hamilton,Ontario,L8M1P3,905-549-3095,905-549-3105,www.hwdsb.on.ca/memorialcity/,http://www.hwdsb.on.ca, 433 ,43.24319,-79.81958,6.9,99.8,3.7,3.9,22.6,NA,54%,14,21%,-6,26%,-5,56%,5,41%,-17,14%,-2,NA,NA,NA,NA,NA,NA,31.3,17.5,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),361739,Memorial Public School,Public,Not applicable,Elementary,English,JK-8,,,211 Memorial Avenue,Hamilton,Stoney Creek,Ontario,L8G3B2,905-662-6623,905-662-4193,http://schools.hwdsb.on.ca/memorial/,http://www.hwdsb.on.ca, 380 ,43.21716,-79.72778,38.4,100,SP,SP,10.5,SP,78%,6,65%,-13,55%,2,84%,-3,82%,8,36%,-10,NA,NA,NA,NA,NA,NA,12.3,40,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),364983,Millgrove Public School,Public,Not applicable,Elementary,English,JK-5,,,375 5th Concession West,Hamilton,Millgrove,Ontario,L0R1V0,905-689-4544,905-689-4599,http://schools.hwdsb.on.ca/millgrove/,http://www.hwdsb.on.ca, 191 ,43.33646,-79.96019,SP,100,SP,SP,13.6,NA,83%,0,86%,-11,74%,-12,N/D,NA,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,6.7,43.4,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),375900,Mount Albion Public School,Public,Not applicable,Elementary,English,JK-8,,,24 Kennard Street,Hamilton,Stoney Creek,Ontario,L8J2E5,905-560-0908,905-560-0913,http://schools.hwdsb.on.ca/mountalbion/,http://www.hwdsb.on.ca, 402 ,43.18932,-79.7911,41.3,99.8,4.2,3.7,15.6,NA,88%,5,77%,0,70%,7,67%,-1,70%,5,37%,-6,NA,NA,NA,NA,NA,NA,17.7,31.2,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),376299,Mount Hope Public School,Public,Not applicable,Elementary,English,JK-8,,,9149 Airport Road,Hamilton,Mount Hope,Ontario,L0R1W0,905-679-4145,905-679-4146,http://schools.hwdsb.on.ca/mounthope/,http://www.hwdsb.on.ca, 361 ,43.16085,-79.92504,10.2,100,SP,SP,11.6,SP,66%,-2,57%,-9,59%,-4,77%,-9,65%,-18,31%,-16,NA,NA,NA,NA,NA,NA,8.5,32.3,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),376949,Mountain View Public School,Public,Not applicable,Elementary,English,JK-8,,,299 Barton Street,Hamilton,Stoney Creek,Ontario,L8E2K7,905-662-6939,905-662-6978,http://schools.hwdsb.on.ca/mountainview/,http://www.hwdsb.on.ca, 351 ,43.22968,-79.72725,47.6,99.4,4.8,4.8,6.5,SP,70%,-11,67%,-21,52%,-15,88%,1,83%,0,39%,-11,NA,NA,NA,NA,NA,NA,13.8,33.2,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),378178,Mountview Junior Public School,Public,Not applicable,Elementary,English,JK-6,,,59 Karen Crescent,Hamilton,Hamilton,Ontario,L9C5M5,905-388-1677,905-388-4706,http://schools.hwdsb.on.ca/mountview/,http://www.hwdsb.on.ca, 231 ,43.24139,-79.92545,29,100,SP,SP,8.6,SP,77%,-4,83%,-3,66%,-20,96%,7,88%,-5,65%,-5,NA,NA,NA,NA,NA,NA,17.1,51.4,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),483142,New School on Summit Park Site Elementary Public School,Public,Not applicable,Elementary,English,JK-8,,,,,,,,,,,http://www.hwdsb.on.ca, NA ,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),893455,Nora Henderson Secondary School,Public,Not applicable,Secondary,English,9-12,,,75 Palmer Road,Hamilton,Hamilton,Ontario,L8T3G1,905-389-2234,905-318-6509,www.hwdsb.on.ca/henderson/,http://www.hwdsb.on.ca, 795 ,43.21545,-79.84097,39.4,99.7,17.5,17.2,22.8,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78%,-6,35%,-9,64%,8,22.4,24,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),412309,Norwood Park Elementary School,Public,Not applicable,Elementary,English,JK-8,,,165 Terrace Drive,Hamilton,Hamilton,Ontario,L9A2Z2,905-575-9808,905-575-0098,http://schools.hwdsb.on.ca/norwoodpark/,http://www.hwdsb.on.ca, 521 ,43.22986,-79.87753,28.8,98.8,SP,SP,8.8,4,91%,5,72%,-5,59%,-9,95%,4,88%,4,49%,-26,NA,NA,NA,NA,NA,NA,19,40.6,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),932507,Orchard Park Secondary School,Public,Not applicable,Secondary,English,9-12,,,200 DeWitt Road,Hamilton,Stoney Creek,Ontario,L8E4M5,905-573-3550,905-664-6603,http://schools.hwdsb.on.ca/orchardpark/,http://www.hwdsb.on.ca, 979 ,43.21771,-79.71158,40.1,99.6,1.6,1.4,20.4,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94%,6,61%,5,82%,-2,11.1,37.3,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),434272,Parkdale School,Public,Not applicable,Elementary,English,JK-5,,,139 Parkdale Avenue North,Hamilton,Hamilton,Ontario,L8H5X3,905-545-6216,905-545-7998,http://schools.hwdsb.on.ca/parkdale/,http://www.hwdsb.on.ca, 195 ,43.24055,-79.79063,16.9,100,SP,SP,14.8,NA,79%,9,85%,18,48%,0,N/D,NA,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,35.1,13.9,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),437557,Pauline Johnson Public School,Public,Not applicable,Elementary,English,JK-8,,,25 Hummingbird Lane,Hamilton,Hamilton,Ontario,L9A4B1,905-388-1761,905-388-4447,http://schools.hwdsb.on.ca/paulinejohnson/,http://www.hwdsb.on.ca, 388 ,43.2199,-79.87051,38.1,100,5.9,5.9,15.7,NA,54%,7,54%,23,40%,6,73%,2,59%,9,35%,6,NA,NA,NA,NA,NA,NA,31.1,26.1,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),025897,Prince of Wales Elementary Public School,Public,Not applicable,Elementary,English,JK-8,,,77 Melrose Avenue North,Hamilton,Hamilton,Ontario,L8L6X4,905-667-5870,,www.hwdsb.on.ca/princeofwales/,http://www.hwdsb.on.ca, 678 ,43.252053,-79.832545,9.4,100,4.7,4.7,14.8,SP,83%,27,74%,16,51%,2,53%,3,44%,-10,14%,4,NA,NA,NA,NA,NA,NA,44.6,12.2,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),464430,Queen Mary Public School,Public,Not applicable,Elementary,English,JK-8,,,1292 Cannon Street East,Hamilton,Hamilton,Ontario,L8H1V6,905-547-0321,905-547-0759,http://www.hwdsb.on.ca/schools/schoolprofiles/index.aspx?school_id=queenmary,http://www.hwdsb.on.ca, 604 ,43.24619,-79.8134,11.1,99.7,7.6,7.6,17.3,SP,56%,8,41%,-13,36%,-2,56%,-17,54%,-24,25%,-8,NA,NA,NA,NA,NA,NA,39.9,8.3,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),548172,Queen Victoria Elementary Public School,Public,Not applicable,Elementary,English,JK-8,,,166 Forest Avenue,Hamilton,Hamilton,Ontario,L8N0A5,905-667-5880,905-667-5885,www.hwdsb.on.ca/queenvictoria/,http://www.hwdsb.on.ca, 580 ,43.248414,-79.865938,36.4,99.8,25.3,24.3,21.3,NA,33%,-13,27%,-12,24%,0,52%,-2,46%,-2,17%,-5,NA,NA,NA,NA,NA,NA,55.3,28.3,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),465860,Queen's Rangers Public School,Public,Not applicable,Elementary,English,JK-6,,,1886 Governor's Road,Hamilton,Copetown,Ontario,L0R1J0,905-627-7822,905-627-9539,http://fcinternet.hwdsb.on.ca/~queensrangersweb/,http://www.hwdsb.on.ca, 125 ,43.24373,-80.04841,SP,98.4,NA,NA,12.8,NA,95%,13,100%,18,100%,55,95%,7,84%,13,32%,-21,NA,NA,NA,NA,NA,NA,SP,54.3,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),466387,Queensdale School,Public,Not applicable,Elementary,English,JK-8,,,67 Queensdale Avenue East,Hamilton,Hamilton,Ontario,L9A1K4,905-387-5744,905-387-3995,http://schools.hwdsb.on.ca/queensdale/,http://www.hwdsb.on.ca, 347 ,43.24137,-79.87298,17.6,100,9.2,9.2,11.8,SP,73%,10,69%,9,59%,2,73%,9,68%,13,27%,-3,NA,NA,NA,NA,NA,NA,20.7,40.8,6/17/2019
